id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url
5215,She Leads the Room,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Midtown,Midtown,Morning,44ROCH,44ROCH,,44ROCH,44roch,False,,https://partiful.com/e/P41KkH7JnaPmz95p7q2Y,P41KkH7JnaPmz95p7q2Y,https://www.tech-week.com/calendar/nyc
5963,Women in AI,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Union Square,Union Square,Morning,FitIDAI,FitIDAI,,FitIDAI,fitidai,True,,,,https://www.tech-week.com/calendar/nyc
5971,ATTAP (All Things to All People) Vibeathon & Agentathon,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Chelsea,Chelsea,Morning,ATTAP-All Things to All People-attap.ai,ATTAP-All Things to All People-attap.ai,,ATTAP-All Things to All People-attap.ai,attap-all-things-to-all-people-attap-ai,False,,https://partiful.com/e/GmOIWn5hMegxDT7gDfTX,GmOIWn5hMegxDT7gDfTX,https://www.tech-week.com/calendar/nyc
6569,The Deal House,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,SoHo,SoHo,Morning,Expert DOJO,Expert DOJO,Nightrush AI,Expert DOJO; Nightrush AI,expert-dojo; nightrush-ai,False,,https://partiful.com/e/muXQlVgG3uqwpbvvPIve,muXQlVgG3uqwpbvvPIve,https://www.tech-week.com/calendar/nyc
6267,The Biotech & Deep Tech Pitch Clinic,2026-06-01,10:30:00,Monday,2026-06-01 10:30,New York City,Midtown,Midtown,Morning,Jennifer Pawlitschek Consulting,Jennifer Pawlitschek Consulting,,Jennifer Pawlitschek Consulting,jennifer-pawlitschek-consulting,False,,https://partiful.com/e/znsAwRLUqbzimqhrQOlI,znsAwRLUqbzimqhrQOlI,https://www.tech-week.com/calendar/nyc
6341,Quantum 'Magic' Masterclass: Code a Real Quantum Computer With an Uncanny Algorithm,2026-06-01,10:30:00,Monday,2026-06-01 10:30,New York City,Flatiron,Flatiron,Morning,IBM,IBM,,IBM,ibm,False,platinum,https://partiful.com/e/F5Y6wtHv792PJDhV56MB,F5Y6wtHv792PJDhV56MB,https://www.tech-week.com/calendar/nyc
6424,Kamp Café (NYC Tech Week Kick Off Party @ High End Italian Bakery),2026-06-01,10:30:00,Monday,2026-06-01 10:30,New York City,Union Square,Union Square,Morning,Kamp,Kamp,,Kamp,kamp,False,,https://partiful.com/e/DO8XlNCIKaedsYpjKgny,DO8XlNCIKaedsYpjKgny,https://www.tech-week.com/calendar/nyc
230,Cracking Founder-Led Marketing,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Central Park,Central Park,Morning,Founder-Led Media Community,Founder-Led Media Community,,Founder-Led Media Community,founder-led-media-community,False,,https://partiful.com/e/A7Fi4pkz6XLgYA8YnQPp,A7Fi4pkz6XLgYA8YnQPp,https://www.tech-week.com/calendar/nyc
4063,Founders & Investors Brunch,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Financial District,Financial District,Morning,fratl,fratl,,fratl,fratl,True,,,,https://www.tech-week.com/calendar/nyc
4333,"Health Systems, Clinicians, & the Consumer Health Era",2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Midtown,Midtown,Morning,One Health Collective,One Health Collective,Scalpels & Spreadsheets,One Health Collective; Scalpels & Spreadsheets,one-health-collective; scalpels-spreadsheets,False,,https://partiful.com/e/wAZzOJIAzjIpjfMYrgpS,wAZzOJIAzjIpjfMYrgpS,https://www.tech-week.com/calendar/nyc
